N100 Ratio Engine - Day 13 Edge Cases
======================================================================
ROCE / ROE source cross-checks
Difference threshold: > 5 percentage points
Computed Ratio Engine values are analytical source of truth.
companies.xlsx values are source/display reference only.
======================================================================

ROCE ANOMALY | company=ABB | year=2024-03 | calculated=38.4188 | source=46.0000 | difference=7.5812 | category=version difference
ROCE ANOMALY | company=ADANIGREEN | year=2024-03 | calculated=9.7976 | source=96.5000 | difference=86.7024 | category=version difference
ROCE ANOMALY | company=ADANIPOWER | year=2024-03 | calculated=23.4411 | source=32.2000 | difference=8.7589 | category=version difference
ROCE ANOMALY | company=ASIANPAINT | year=2024-03 | calculated=35.7749 | source=41.7500 | difference=5.9751 | category=version difference
ROCE ANOMALY | company=BAJAJ-AUTO | year=2024-03 | calculated=28.3896 | source=33.5000 | difference=5.1104 | category=version difference
ROCE ANOMALY | company=BAJAJFINSV | year=2024-03 | calculated=11.7064 | source=21.1400 | difference=9.4336 | category=version difference
ROCE ANOMALY | company=BAJAJHLDNG | year=2024-03 | calculated=2.8761 | source=13.1000 | difference=10.2239 | category=version difference
ROCE ANOMALY | company=BAJFINANCE | year=2024-03 | calculated=4.3506 | source=11.9000 | difference=7.5494 | category=version difference
ROCE ANOMALY | company=BEL | year=2024-03 | calculated=3977.1654 | source=34.6000 | difference=3942.5654 | category=version difference
ROCE ANOMALY | company=BHARTIARTL | year=2024-03 | calculated=26.2539 | source=13.1000 | difference=13.1539 | category=version difference
ROCE ANOMALY | company=CHOLAFIN | year=2024-03 | calculated=3.4952 | source=10.4000 | difference=6.9048 | category=version difference
ROCE ANOMALY | company=CIPLA | year=2024-03 | calculated=71.4579 | source=22.8000 | difference=48.6579 | category=version difference
ROCE ANOMALY | company=COALINDIA | year=2024-03 | calculated=105.7130 | source=63.6000 | difference=42.1130 | category=version difference
ROCE ANOMALY | company=EICHERMOT | year=2024-03 | calculated=23.4456 | source=31.1000 | difference=7.6544 | category=version difference
ROCE ANOMALY | company=GODREJCP | year=2024-03 | calculated=18.6915 | source=26.4900 | difference=7.7985 | category=version difference
ROCE ANOMALY | company=HAL | year=2024-03 | calculated=3027.6398 | source=38.9000 | difference=2988.7398 | category=version difference
ROCE ANOMALY | company=HDFCLIFE | year=2024-03 | calculated=646.4588 | source=6.6100 | difference=639.8488 | category=version difference
ROCE ANOMALY | company=HEROMOTOCO | year=2024-03 | calculated=177.8421 | source=29.1000 | difference=148.7421 | category=version difference
ROCE ANOMALY | company=HINDALCO | year=2024-03 | calculated=118.2078 | source=11.3000 | difference=106.9078 | category=version difference
ROCE ANOMALY | company=HINDUNILVR | year=2024-03 | calculated=89.6304 | source=27.2000 | difference=62.4304 | category=version difference
ROCE ANOMALY | company=ICICIGI | year=2024-03 | calculated=146.3235 | source=22.5000 | difference=123.8235 | category=version difference
ROCE ANOMALY | company=ICICIPRULI | year=2024-03 | calculated=754.9037 | source=8.7500 | difference=746.1537 | category=version difference
ROCE ANOMALY | company=INDIGO | year=2024-03 | calculated=5640.8798 | source=24.5000 | difference=5616.3798 | category=version difference
ROCE ANOMALY | company=IRCTC | year=2024-03 | calculated=44.5593 | source=53.8000 | difference=9.2407 | category=version difference
ROCE ANOMALY | company=LICI | year=2024-03 | calculated=39.6135 | source=63.7900 | difference=24.1765 | category=version difference
ROCE ANOMALY | company=LT | year=2024-03 | calculated=135.2030 | source=17.1800 | difference=118.0230 | category=version difference
ROCE ANOMALY | company=LTIM | year=2024-03 | calculated=28.9148 | source=34.1000 | difference=5.1852 | category=version difference
ROCE ANOMALY | company=M&M | year=2024-03 | calculated=14.2373 | source=26.9800 | difference=12.7427 | category=version difference
ROCE ANOMALY | company=MOTHERSON | year=2024-03 | calculated=20.2314 | source=13.7000 | difference=6.5314 | category=version difference
ROCE ANOMALY | company=NESTLEIND | year=2024-03 | calculated=157.7476 | source=185.4300 | difference=27.6824 | category=version difference
ROCE ANOMALY | company=PFC | year=2024-03 | calculated=3.4859 | source=9.9600 | difference=6.4741 | category=version difference
ROCE ANOMALY | company=POWERGRID | year=2024-03 | calculated=18.9052 | source=13.2000 | difference=5.7052 | category=version difference
ROCE ANOMALY | company=SBILIFE | year=2024-03 | calculated=1.6501 | source=13.2000 | difference=11.5499 | category=version difference
ROCE ANOMALY | company=SHREECEM | year=2024-03 | calculated=20.2066 | source=14.8000 | difference=5.4066 | category=version difference
ROCE ANOMALY | company=SHRIRAMFIN | year=2024-03 | calculated=4.3049 | source=11.3000 | difference=6.9951 | category=version difference
ROCE ANOMALY | company=SIEMENS | year=2024-09 | calculated=19.8516 | source=25.6000 | difference=5.7484 | category=version difference
ROCE ANOMALY | company=TATAMOTORS | year=2024-03 | calculated=30.9803 | source=20.1000 | difference=10.8803 | category=version difference
ROCE ANOMALY | company=TATASTEEL | year=2024-03 | calculated=12.4209 | source=7.0200 | difference=5.4009 | category=version difference
ROCE ANOMALY | company=TORNTPHARM | year=2024-03 | calculated=30.9616 | source=23.2000 | difference=7.7616 | category=version difference
ROCE ANOMALY | company=TRENT | year=2024-03 | calculated=33.8602 | source=23.8000 | difference=10.0602 | category=version difference
ROE ANOMALY | company=ADANIENT | year=2024-03 | calculated=8.5347 | source=13.6400 | difference=5.1053 | category=version difference
ROE ANOMALY | company=ADANIPOWER | year=2024-03 | calculated=48.2767 | source=57.1000 | difference=8.8233 | category=version difference
ROE ANOMALY | company=BAJAJFINSV | year=2024-03 | calculated=25.8504 | source=11.7200 | difference=14.1304 | category=version difference
ROE ANOMALY | company=BEL | year=2024-03 | calculated=4744.0476 | source=26.3000 | difference=4717.7476 | category=version difference
ROE ANOMALY | company=BPCL | year=2024-03 | calculated=35.5113 | source=41.9000 | difference=6.3887 | category=version difference
ROE ANOMALY | company=COALINDIA | year=2024-03 | calculated=45.1698 | source=52.0000 | difference=6.8302 | category=version difference
ROE ANOMALY | company=GODREJCP | year=2024-03 | calculated=-4.4531 | source=6.7700 | difference=11.2231 | category=version difference
ROE ANOMALY | company=HAL | year=2024-03 | calculated=3816.5829 | source=28.9000 | difference=3787.6829 | category=version difference
ROE ANOMALY | company=IRCTC | year=2024-03 | calculated=34.3963 | source=40.4000 | difference=6.0037 | category=version difference
ROE ANOMALY | company=LICI | year=2024-03 | calculated=49.4471 | source=63.6100 | difference=14.1629 | category=version difference
ROE ANOMALY | company=LT | year=2024-03 | calculated=77.6651 | source=10.4900 | difference=67.1751 | category=version difference
ROE ANOMALY | company=NESTLEIND | year=2024-03 | calculated=117.7545 | source=135.6100 | difference=17.8555 | category=version difference
ROE ANOMALY | company=PFC | year=2024-03 | calculated=26.1609 | source=19.4900 | difference=6.6709 | category=version difference
ROE ANOMALY | company=PNB | year=2024-03 | calculated=61.3206 | source=8.7000 | difference=52.6206 | category=version difference
ROE ANOMALY | company=TATAMOTORS | year=2024-03 | calculated=37.4561 | source=49.4000 | difference=11.9439 | category=version difference
ROE ANOMALY | company=TATASTEEL | year=2024-03 | calculated=-5.3349 | source=6.5500 | difference=11.8849 | category=version difference
ROE ANOMALY | company=TCS | year=2024-03 | calculated=50.9443 | source=0.5200 | difference=50.4243 | category=data source issue
ROE ANOMALY | company=TRENT | year=2024-03 | calculated=36.3078 | source=27.2000 | difference=9.1078 | category=version difference
2026-09-19 13:12:19,298 | WARNING | ROCE anomaly | company=ABB | year=2012-12 | computed=31.2210 | source=46.0000 | difference=14.7790 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,299 | WARNING | ROCE anomaly | company=ABB | year=2014-03 | computed=33.8832 | source=46.0000 | difference=12.1168 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,300 | WARNING | ROCE anomaly | company=ABB | year=2015-03 | computed=33.2978 | source=46.0000 | difference=12.7022 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,300 | WARNING | ROCE anomaly | company=ABB | year=2016-03 | computed=30.5439 | source=46.0000 | difference=15.4561 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,300 | WARNING | ROCE anomaly | company=ABB | year=2017-03 | computed=28.6950 | source=46.0000 | difference=17.3050 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,300 | WARNING | ROCE anomaly | company=ABB | year=2018-03 | computed=31.0100 | source=46.0000 | difference=14.9900 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,300 | WARNING | ROCE anomaly | company=ABB | year=2019-03 | computed=30.1295 | source=46.0000 | difference=15.8705 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,300 | WARNING | ROCE anomaly | company=ABB | year=2020-03 | computed=29.0483 | source=46.0000 | difference=16.9517 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,300 | WARNING | ROCE anomaly | company=ABB | year=2021-03 | computed=33.4664 | source=46.0000 | difference=12.5336 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,300 | WARNING | ROCE anomaly | company=ABB | year=2022-03 | computed=36.4065 | source=46.0000 | difference=9.5935 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,300 | WARNING | ROCE anomaly | company=ABB | year=2023-03 | computed=36.5344 | source=46.0000 | difference=9.4656 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,300 | WARNING | ROCE anomaly | company=ABB | year=2024-03 | computed=38.4188 | source=46.0000 | difference=7.5812 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,300 | WARNING | ROCE anomaly | company=ADANIENSOL | year=2014-03 | computed=0.0000 | source=9.0000 | difference=9.0000 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,300 | WARNING | ROCE anomaly | company=ADANIENSOL | year=2015-03 | computed=0.9366 | source=9.0000 | difference=8.0634 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,300 | WARNING | ROCE anomaly | company=ADANIENSOL | year=2016-03 | computed=17.1182 | source=9.0000 | difference=8.1182 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,300 | WARNING | ROCE anomaly | company=ADANIENSOL | year=2017-03 | computed=16.6331 | source=9.0000 | difference=7.6331 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,300 | WARNING | ROCE anomaly | company=ADANIENSOL | year=2018-03 | computed=17.1429 | source=9.0000 | difference=8.1429 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,300 | WARNING | ROCE anomaly | company=ADANIENT | year=2016-03 | computed=5.1741 | source=11.6000 | difference=6.4259 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,300 | WARNING | ROCE anomaly | company=ADANIENT | year=2017-03 | computed=5.4371 | source=11.6000 | difference=6.1629 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,300 | WARNING | ROCE anomaly | company=ADANIENT | year=2018-03 | computed=6.2275 | source=11.6000 | difference=5.3725 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,300 | WARNING | ROCE anomaly | company=ADANIENT | year=2022-03 | computed=5.8158 | source=11.6000 | difference=5.7842 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,300 | WARNING | ROCE anomaly | company=ADANIGREEN | year=2017-03 | computed=7.2613 | source=96.5000 | difference=89.2387 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,300 | WARNING | ROCE anomaly | company=ADANIGREEN | year=2018-03 | computed=7.5234 | source=96.5000 | difference=88.9766 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,301 | WARNING | ROCE anomaly | company=ADANIGREEN | year=2019-03 | computed=11.6711 | source=96.5000 | difference=84.8289 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,301 | WARNING | ROCE anomaly | company=ADANIGREEN | year=2020-03 | computed=8.4190 | source=96.5000 | difference=88.0810 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,301 | WARNING | ROCE anomaly | company=ADANIGREEN | year=2021-03 | computed=8.4857 | source=96.5000 | difference=88.0143 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,301 | WARNING | ROCE anomaly | company=ADANIGREEN | year=2022-03 | computed=6.3341 | source=96.5000 | difference=90.1659 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,301 | WARNING | ROCE anomaly | company=ADANIGREEN | year=2023-03 | computed=8.0778 | source=96.5000 | difference=88.4222 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,301 | WARNING | ROCE anomaly | company=ADANIGREEN | year=2024-03 | computed=9.7976 | source=96.5000 | difference=86.7024 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,302 | WARNING | ROCE anomaly | company=ADANIPOWER | year=2013-03 | computed=2.0830 | source=32.2000 | difference=30.1170 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,302 | WARNING | ROCE anomaly | company=ADANIPOWER | year=2014-03 | computed=9.0604 | source=32.2000 | difference=23.1396 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,302 | WARNING | ROCE anomaly | company=ADANIPOWER | year=2015-03 | computed=9.2694 | source=32.2000 | difference=22.9306 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,302 | WARNING | ROCE anomaly | company=ADANIPOWER | year=2016-03 | computed=14.6220 | source=32.2000 | difference=17.5780 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,302 | WARNING | ROCE anomaly | company=ADANIPOWER | year=2017-03 | computed=10.7779 | source=32.2000 | difference=21.4221 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,302 | WARNING | ROCE anomaly | company=ADANIPOWER | year=2018-03 | computed=10.1184 | source=32.2000 | difference=22.0816 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,302 | WARNING | ROCE anomaly | company=ADANIPOWER | year=2019-03 | computed=9.1110 | source=32.2000 | difference=23.0890 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,302 | WARNING | ROCE anomaly | company=ADANIPOWER | year=2020-03 | computed=9.2964 | source=32.2000 | difference=22.9036 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,302 | WARNING | ROCE anomaly | company=ADANIPOWER | year=2021-03 | computed=13.2374 | source=32.2000 | difference=18.9626 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,302 | WARNING | ROCE anomaly | company=ADANIPOWER | year=2022-03 | computed=14.6164 | source=32.2000 | difference=17.5836 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,302 | WARNING | ROCE anomaly | company=ADANIPOWER | year=2023-03 | computed=13.9783 | source=32.2000 | difference=18.2217 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,302 | WARNING | ROCE anomaly | company=ADANIPOWER | year=2024-03 | computed=23.4411 | source=32.2000 | difference=8.7589 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,302 | WARNING | ROCE anomaly | company=AMBUJACEM | year=2012-12 | computed=27.9214 | source=12.8000 | difference=15.1214 | category=REVIEW_REQUIRED
2026-09-19 13:12:19,302 | WARNING | ROCE anomaly | company=AMBUJACEM | year=2014-12 | computed=19.1409 | source=12.8000 | difference=6.3409 | category=REVIEW_REQUIRED
